token_id,ticket_id,user_id,image,name,description,event_name,event_date,event_address,section,row,seat
1,ticket-num-1201010-001,alexandre.walraevens@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-001).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
2,ticket-num-1201010-002,alexandre.walraevens@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-002).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
3,ticket-num-1201010-003,alexandre.walraevens@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-003).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
4,ticket-num-1201010-004,alexandre.walraevens@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-004).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
5,ticket-num-1201010-005,alexandre.walraevens@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-005).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
6,ticket-num-1201010-006,alexandre.walraevens@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-006).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
7,ticket-num-1201010-007,alexandre.walraevens@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-007).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
8,ticket-num-1201010-008,alexandre.walraevens@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-008).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
9,ticket-num-1201010-009,alexandre.walraevens@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-009).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
10,ticket-num-1201010-010,alexandre.walraevens@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-010).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
11,ticket-num-1201010-011,alexandre.walraevens@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-011).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
12,ticket-num-1201010-012,denis.komarov@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-012).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
13,ticket-num-1201010-013,denis.komarov@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-013).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
14,ticket-num-1201010-014,denis.komarov@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-014).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
15,ticket-num-1201010-015,denis.komarov@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-015).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
16,ticket-num-1201010-016,nicolas.plancherel@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-016).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
